Maths,Physics,English,Economics,Biology,Group
56,19,23,27,38,34
25,91,33,79,76,34
84,61,80,69,55,34
40,13,65,30,52,34
50,26,98,44,21,34
86,88,68,51,90,34
78,89,44,29,74,34
98,80,83,15,28,34
15,87,14,29,63,34
46,71,60,51,19,34
24,47,75,16,48,34
50,16,11,10,92,34
59,77,30,84,22,35
70,59,27,87,81,35
28,85,13,69,46,35
79,61,74,51,33,35
48,99,80,58,20,35
78,37,76,38,61,35
26,27,98,11,27,35
73,73,40,15,50,35
26,99,41,85,26,35
42,53,33,11,80,35
82,30,27,38,80,35
62,11,62,46,52,35
48,17,29,23,63,35
32,78,93,83,93,35
80,33,89,66,58,35
68,77,39,17,31,35
37,65,34,32,82,35
86,13,74,85,10,35
43,63,60,19,39,35
49,54,13,66,38,35
50,95,21,57,24,35
99,64,59,22,19,35
59,35,94,42,15,35
42,46,66,22,97,35
40,20,90,18,99,35
76,12,79,52,16,35
62,10,53,85,85,35
40,20,13,94,98,35
99,15,34,41,11,35
95,86,18,61,28,35
47,74,18,74,14,36
62,50,56,72,75,36
29,69,77,32,76,36
14,39,94,27,60,36
89,62,97,24,23,36
76,58,50,82,70,36
41,30,34,37,30,36
97,68,96,31,92,36
51,91,80,18,52,36
35,53,24,29,90,36
11,59,59,30,15,36
93,45,49,41,83,36
75,39,78,81,51,36
66,94,79,80,89,36
60,74,13,67,84,36
78,70,49,48,47,36
75,47,64,27,78,36
39,62,24,76,60,36
55,24,65,37,77,36
58,28,92,96,54,36
40,45,21,64,42,36
38,44,57,26,16,36
20,41,59,20,82,36
19,18,61,45,44,36
67,28,73,19,60,36
42,85,57,95,26,36
87,52,87,88,35,36
64,93,11,38,61,36
14,66,12,53,33,36
98,68,99,96,43,36
90,67,70,76,34,37
79,38,85,19,65,37
47,48,70,45,43,37
92,88,79,96,87,37
77,30,40,16,83,37
30,31,51,18,44,37
34,28,12,89,19,37
28,76,99,74,10,37
29,93,13,82,53,37
45,39,95,82,49,37
52,97,31,37,32,37
84,25,26,86,73,37
11,88,21,44,36,37
27,47,96,23,22,37
26,60,92,76,69,37
31,95,94,51,87,37
31,37,43,57,23,37
67,61,51,92,91,37
95,72,29,20,55,37
70,49,28,82,22,37
85,49,39,39,16,37
66,70,32,36,77,37
17,18,49,59,91,37
91,94,66,69,97,37
55,98,80,59,78,37
20,56,46,28,77,37
19,43,57,50,30,37
62,24,40,70,32,37
64,96,60,12,87,37
90,41,75,23,14,37
27,35,24,50,83,38
41,96,91,85,80,38
20,65,97,29,47,38
65,73,30,83,41,38
90,53,27,31,97,38
77,50,28,79,86,38
80,98,86,35,34,38
25,57,18,10,19,38
61,80,48,53,53,38
80,79,73,18,25,38
19,39,97,49,23,38
17,27,59,91,47,38
44,34,68,96,79,38
77,50,88,41,83,38
28,71,73,25,97,38
66,63,31,30,42,38
20,10,84,28,13,38
34,30,82,47,50,38
83,50,30,35,38,38
70,84,62,97,13,38
33,41,39,88,37,38
73,89,87,30,42,38
24,61,61,37,55,38
71,15,18,49,76,38
30,83,78,89,32,38
56,15,32,67,20,38
49,50,95,46,83,38
55,75,87,42,46,38
36,80,87,36,78,38
22,36,62,36,42,38
52,13,13,59,77,39
22,94,28,65,19,39
71,32,42,84,10,39
72,57,41,98,83,39
84,32,97,34,69,39
48,93,85,93,96,39
43,61,46,98,42,39
73,36,25,45,75,39
85,73,12,25,28,39
48,94,62,94,51,39
64,60,75,34,12,39
28,52,53,10,95,39
75,19,80,77,77,39
72,52,91,41,91,39
75,99,86,55,60,39
91,45,10,27,97,39
54,84,37,51,52,39
32,64,75,54,88,39
89,96,42,44,24,39
92,32,82,35,97,39
14,59,62,73,88,39
32,21,31,88,96,39
42,64,94,95,15,39
99,22,28,39,84,39
44,50,48,55,85,39
47,67,23,99,85,39
60,27,99,27,73,39
87,40,63,38,20,39
11,62,12,31,65,39
38,45,17,58,25,39
36,89,38,58,16,40
70,32,49,89,84,40
22,36,90,79,16,40
40,22,92,49,45,40
20,22,30,92,37,40
64,94,21,45,55,40
31,25,64,68,65,40
80,76,11,69,42,40
53,91,71,96,46,40
66,88,22,91,86,40
16,29,16,23,44,40
19,19,81,28,85,40
26,52,31,12,85,40
68,74,17,40,57,40
46,63,86,55,94,40
66,56,99,24,17,40
93,10,41,57,74,40
37,41,71,22,61,40
16,50,32,33,59,40
48,69,87,66,65,40
29,69,24,55,79,40
82,39,39,95,17,40
35,36,44,16,79,40
39,52,61,52,39,40
64,97,23,23,85,40
15,66,84,92,27,40
95,15,20,99,96,40
33,74,30,57,81,40
72,25,15,99,87,40
38,77,13,73,24,40
37,25,54,24,85,41
64,56,66,35,78,41
86,59,10,30,85,41
16,96,82,51,96,41
82,15,93,68,12,41
34,30,43,71,59,41
62,75,45,22,47,41
33,20,43,97,70,41
80,45,57,70,31,41
74,34,49,53,37,41
86,38,21,66,86,41
21,30,61,89,29,41
81,56,49,17,84,41
31,32,52,92,51,41
29,64,11,12,67,41
95,94,22,91,55,41
71,44,78,87,52,41
15,30,81,31,60,41
45,38,61,91,37,41
60,43,59,25,99,41
61,87,11,23,67,41
33,56,39,83,42,41
59,69,80,91,19,41
56,37,60,61,38,41
48,33,11,88,12,41
97,17,70,30,39,41
60,37,45,62,75,41
97,17,21,66,67,41
47,95,77,82,19,41
33,17,60,73,28,41
25,97,93,33,84,42
15,19,85,48,12,42
91,37,93,63,39,42
78,80,37,53,57,42
86,38,94,83,98,42
90,46,64,69,12,42
13,24,50,10,92,42
61,33,99,44,35,42
32,59,65,33,41,42
56,86,64,97,77,42
12,52,29,91,23,42
76,70,70,58,76,42
80,16,64,94,48,42
14,94,96,74,95,42
50,98,59,63,78,42
17,24,63,97,36,42
90,48,38,92,68,42
53,71,33,30,29,42
78,63,91,15,13,42
78,90,64,54,49,42
11,69,50,59,38,42
87,63,47,65,62,42
69,85,60,79,42,42
76,10,42,42,57,42
48,34,73,78,72,42
95,42,77,36,90,42
46,39,50,85,16,42
10,14,71,74,52,42
70,78,15,33,93,42
89,20,91,38,46,42
48,79,73,86,61,43
54,76,81,15,64,43
22,95,98,92,26,43
88,42,42,93,57,43
61,54,76,88,88,43
97,29,62,35,51,43
54,67,46,29,43,43
97,30,49,63,57,43
14,90,16,76,82,43
48,29,25,71,37,43
42,56,70,38,42,43
92,94,59,38,82,43
58,88,20,77,51,43
63,32,74,88,84,43
46,45,39,17,15,43
65,68,75,97,44,43
44,39,99,94,53,43
90,40,36,16,83,43
83,89,98,39,88,43
23,38,67,71,84,43
83,69,48,60,95,43
78,88,76,16,20,43
48,88,32,16,98,43
97,14,18,78,29,43
85,61,87,81,66,43
92,64,56,42,43,43
26,27,28,97,19,43
65,59,34,11,33,43
66,64,53,72,39,43
50,98,52,41,43,43
33,77,78,87,19,44
82,86,14,81,15,44
38,15,80,21,40,44
25,15,39,16,60,44
25,23,17,90,46,44
43,77,25,63,57,44
24,38,22,66,69,44
98,15,38,21,66,44
97,42,61,44,46,44
17,50,85,52,71,44
92,46,49,68,42,44
17,51,79,49,89,44
76,66,81,71,14,44
28,36,86,85,98,44
90,75,79,14,59,44
20,22,64,58,42,44
19,86,75,84,18,44
33,61,24,81,79,44
15,70,79,41,29,44
19,73,92,18,59,44
75,58,84,75,43,44
40,43,23,55,15,44
76,99,76,48,62,44
56,66,13,38,54,44
52,25,33,72,36,44
35,11,38,79,22,44
70,29,52,82,86,44
67,59,79,77,54,44
28,20,72,79,53,44
67,77,69,12,88,44
24,21,93,94,37,45
55,99,12,76,36,45
13,81,19,94,66,45
56,26,17,19,21,45
56,60,29,21,89,45
69,86,60,40,78,45
33,46,46,21,50,45
22,64,62,16,40,45
44,64,98,51,93,45
25,19,65,66,97,45
40,15,20,43,49,45
15,64,17,54,80,45
91,39,76,91,78,45
55,27,90,87,43,45
72,27,17,62,47,45
18,43,10,73,16,45
16,15,86,14,18,45
21,88,33,26,65,45
72,47,19,52,65,45
98,44,13,26,12,45
93,53,37,85,21,45
12,77,21,39,11,45
21,77,33,61,52,45
30,59,28,37,87,45
92,53,73,35,89,45
97,35,89,84,19,45
87,50,76,54,75,45
18,35,87,31,84,45
76,93,34,90,45,45
65,47,51,91,58,45
69,22,57,54,62,46
89,58,97,52,44,46
53,84,67,69,73,46
47,86,60,57,54,46
67,37,41,94,72,46
50,70,35,59,93,46
98,40,53,21,97,46
41,19,71,31,55,46
37,61,16,28,54,46
84,42,80,89,87,46
10,57,35,18,57,46
94,32,23,42,81,46
24,20,34,88,37,46
45,33,21,40,99,46
91,72,98,54,59,46
29,33,41,14,10,46
61,21,73,60,94,46
48,40,10,72,84,46
50,41,86,66,38,46
10,85,73,91,38,46
49,40,99,82,95,46
32,69,26,63,85,46
46,40,11,20,82,46
38,61,92,36,24,46
13,78,74,76,40,46
64,15,32,61,86,46
54,55,87,21,43,46
82,86,23,20,51,46
91,53,81,28,85,46
50,81,53,65,15,46
56,95,24,99,10,47
73,83,68,49,56,47
82,89,33,64,45,47
13,61,85,48,28,47
41,48,77,65,44,47
51,50,38,49,25,47
50,89,22,35,25,47
63,37,73,40,70,47
22,83,98,57,76,47
11,64,32,19,90,47
74,59,77,17,51,47
54,60,25,84,76,47
34,19,36,60,63,47
50,56,95,87,57,47
53,19,45,94,88,47
91,57,20,43,61,47
69,71,81,34,66,47
81,42,73,45,62,47
26,61,72,29,70,47
64,14,67,11,36,47
44,44,29,94,46,47
81,92,75,97,12,47
44,32,57,24,57,47
51,16,46,75,92,47
81,98,24,43,79,47
95,33,65,21,67,47
46,47,38,60,90,47
21,31,65,29,52,47
10,77,52,83,72,47
10,94,48,41,28,47
19,10,71,44,30,48
39,98,13,75,69,48
51,80,36,82,40,48
24,12,87,19,67,48
76,60,26,91,51,48
58,79,71,97,93,48
37,68,13,30,89,48
93,97,49,64,77,48
89,99,62,62,92,48
77,22,15,64,23,48
27,15,54,44,89,48
94,51,31,22,68,48
82,53,55,85,46,48
12,34,39,58,31,48
97,30,22,69,18,48
58,88,26,21,17,48
44,24,96,38,11,48
51,59,70,32,45,48
37,41,10,84,56,48
87,54,53,44,72,48
39,16,81,78,54,48
28,23,45,42,26,48
69,50,33,63,79,48
88,12,21,55,83,48
43,67,39,77,48,48
62,63,46,49,42,48
29,45,25,35,51,48
56,27,32,60,89,48
39,84,28,34,79,48
69,49,88,91,10,48
19,59,90,86,93,49
17,92,37,46,72,49
20,26,35,26,93,49
95,99,39,60,80,49
81,11,48,42,89,49
17,47,65,77,49,49
48,36,11,92,50,49
80,73,45,19,92,49
45,10,74,49,59,49
14,97,75,19,28,49
68,98,40,88,50,49
87,82,97,34,39,49
17,59,21,98,12,49
75,54,45,58,76,49
57,19,36,72,16,49
68,52,69,55,63,49
63,59,67,56,12,49
99,71,37,76,23,49
39,76,33,69,47,49
25,93,85,36,43,49
21,41,80,34,56,49
57,77,19,93,61,49
56,57,53,46,90,49
39,27,53,78,80,49
22,91,30,24,64,49
17,89,47,59,60,49
98,72,62,97,38,49
43,58,53,21,51,49
27,92,10,91,41,49
78,82,51,23,14,49
95,45,31,79,81,50
11,12,18,15,50,50
48,32,31,52,59,50
77,73,65,13,63,50
63,69,22,10,55,50
88,47,23,47,63,50
54,77,68,51,64,50
18,72,75,66,38,50
96,86,51,76,45,50
67,13,27,97,92,50
52,42,84,58,59,50
96,86,80,84,63,50
27,41,70,49,32,50
35,51,59,75,23,50
32,22,48,82,69,50
11,15,23,30,11,50
23,38,10,38,52,50
96,81,89,16,54,50
29,61,12,41,45,50
51,60,92,68,82,50
21,52,14,71,30,50
12,57,58,92,56,50
37,10,85,34,43,50
12,19,68,27,61,50
23,46,75,69,84,50
42,82,47,82,64,50
90,52,16,46,92,50
54,99,49,45,67,50
81,13,51,11,71,50
19,64,83,22,29,50
59,87,40,41,64,51
38,17,24,16,29,51
59,45,96,64,72,51
42,81,13,57,89,51
19,41,80,99,13,51
53,21,32,88,68,51
22,29,85,39,67,51
42,31,46,22,34,51
68,67,35,19,53,51
80,43,21,11,19,51
59,74,27,46,29,51
36,56,15,19,17,51
28,40,71,95,62,51
28,99,78,73,90,51
92,23,91,82,12,51
81,94,39,11,59,51
57,18,66,56,44,51
10,98,89,84,56,51
44,13,70,16,71,51
66,24,34,90,93,51
11,66,28,89,62,51
54,99,88,30,87,51
36,93,67,61,15,51
74,27,81,67,54,51
80,17,12,52,77,51
99,50,34,89,72,51
30,54,97,49,75,51
51,91,51,24,58,51
48,99,56,79,68,51
90,74,62,92,12,51
53,32,86,65,28,52
65,51,46,93,34,52
78,79,33,62,65,52
67,46,16,20,93,52
32,29,64,26,14,52
48,28,74,18,76,52
99,82,99,70,81,52
50,15,20,62,68,52
93,40,47,15,73,52
11,37,68,18,36,52
45,40,96,61,62,52
24,41,28,32,59,52
21,41,45,37,88,52
43,55,90,62,81,52
48,74,63,25,33,52
16,15,27,51,10,52
43,33,90,38,96,52
22,73,46,36,13,52
49,64,21,47,28,52
33,60,10,27,33,52
44,35,42,66,81,52
21,77,71,60,32,52
29,27,12,57,19,52
14,26,92,64,15,52
31,19,80,72,53,52
10,57,94,17,36,52
70,83,84,18,91,52
30,82,40,16,39,52
53,62,50,24,95,52
92,33,16,54,26,52
14,91,93,61,77,53
19,85,22,67,44,53
56,88,55,83,29,53
37,45,51,12,81,53
25,72,97,52,96,53
39,38,52,79,73,53
95,23,86,20,80,53
31,13,97,95,58,53
49,44,29,78,11,53
94,54,54,88,69,53
58,28,44,17,23,53
73,72,43,17,20,53
32,51,79,61,32,53
90,55,92,83,46,53
44,98,67,39,66,53
83,55,45,34,12,53
90,56,15,23,22,53
76,76,11,58,74,53
95,89,40,97,33,53
58,56,79,23,92,53
36,33,90,91,93,53
77,65,88,66,22,53
49,30,20,71,24,53
21,10,74,54,18,53
42,71,41,26,61,53
92,18,81,93,88,53
40,57,72,77,56,53
11,17,17,71,80,53
79,25,28,51,81,53
68,88,80,17,15,53
21,27,65,15,13,54
18,71,82,69,34,54
44,86,88,80,13,54
14,77,61,18,57,54
22,53,22,23,71,54
93,18,38,27,28,54
79,81,11,20,56,54
17,86,96,95,13,54
49,24,80,17,55,54
60,30,38,62,67,54
98,50,15,23,69,54
16,38,27,37,80,54
82,24,55,64,78,54
63,35,86,23,50,54
35,76,76,34,67,54
37,34,74,12,55,54
70,35,65,92,80,54
12,92,73,50,20,54
24,45,95,50,24,54
60,56,26,49,67,54
93,21,46,13,32,54
33,12,76,87,70,54
28,98,94,22,70,54
53,51,58,62,93,54
90,55,87,47,93,54
26,83,98,32,56,54
64,10,93,25,53,54
90,82,65,76,67,54
57,25,42,78,43,54
10,11,59,11,68,54
56,21,46,69,61,55
98,78,34,71,97,55
21,46,91,18,61,55
13,33,40,24,41,55
78,34,85,96,77,55
82,18,65,24,30,55
29,60,76,37,47,55
73,94,57,76,42,55
32,23,35,39,94,55
85,31,73,16,71,55
54,13,48,78,95,55
79,20,13,88,25,55
18,66,13,94,49,55
65,29,43,81,56,55
11,78,59,85,99,55
34,91,65,86,80,55
59,69,33,46,49,55
10,13,62,32,81,55
40,21,83,38,77,55
17,41,39,50,52,55
32,83,48,98,40,55
14,93,26,47,32,55
65,42,16,28,80,55
58,34,27,11,69,55
89,42,68,10,78,55
85,91,56,71,89,55
61,83,18,76,72,55
87,23,89,98,75,55
78,88,72,97,24,55
58,43,25,30,13,55
35,80,38,53,92,56
63,20,93,30,48,56
93,92,36,46,53,56
65,16,42,19,60,56
25,77,68,73,80,56
83,42,80,96,33,56
26,49,94,49,15,56
16,21,87,71,70,56
89,33,15,60,48,56
87,29,52,88,82,56
50,61,48,85,99,56
54,96,19,67,10,56
33,37,59,20,50,56
59,97,35,36,67,56
36,86,44,87,18,56
84,95,41,16,15,56
12,71,89,26,71,56
31,32,23,26,42,56
24,81,42,89,48,56
77,15,56,73,96,56
24,82,62,72,63,56
72,30,93,86,17,56
59,41,90,97,97,56
33,12,99,90,48,56
14,62,28,49,82,56
77,72,78,87,20,56
23,92,29,13,76,56
64,51,91,41,49,56
33,43,68,49,69,56
61,95,63,81,64,56
19,59,10,13,22,57
59,37,75,98,57,57
81,99,36,76,63,57
35,82,17,73,22,57
67,91,12,38,55,57
63,23,64,82,80,57
43,82,81,58,55,57
42,16,90,11,95,57
43,99,86,93,18,57
34,40,53,14,49,57
99,64,23,85,25,57
87,93,15,90,85,57
32,57,20,88,79,57
96,80,60,24,45,57
43,75,11,62,99,57
96,28,41,49,34,57
34,71,40,59,14,57
47,42,95,56,66,57
79,20,71,37,76,57
12,89,71,67,60,57
19,83,65,94,46,57
43,29,48,88,19,57
94,58,82,19,56,57
43,66,27,90,15,57
16,21,44,73,41,57
64,16,92,71,53,57
81,77,93,76,47,57
54,25,42,21,24,57
11,82,12,43,62,57
65,50,93,68,11,57
90,83,53,64,29,58
71,19,88,81,12,58
48,80,23,76,40,58
73,42,38,35,73,58
69,44,70,93,56,58
39,88,56,75,75,58
34,72,86,21,73,58
43,99,12,91,68,58
93,46,94,43,72,58
51,16,10,62,69,58
84,87,28,47,41,58
57,71,89,44,42,58
67,69,64,78,69,58
91,74,76,13,11,58
32,13,93,82,24,58
78,47,20,14,54,58
24,89,15,27,14,58
25,85,86,77,33,58
96,85,62,39,40,58
52,67,70,15,12,58
81,34,44,80,86,58
45,92,73,22,89,58
79,77,40,20,10,58
16,99,87,87,64,58
86,59,28,77,31,58
59,92,28,82,43,58
93,26,97,77,77,58
97,45,88,21,80,58
17,70,85,37,58,58
52,25,69,36,24,58
42,83,97,58,83,59
94,86,86,18,28,59
28,42,63,87,52,59
40,14,73,49,89,59
70,41,83,38,34,59
38,87,91,58,21,59
53,14,61,12,87,59
93,97,74,16,20,59
32,56,55,84,88,59
68,60,71,64,20,59
57,87,57,64,94,59
86,49,17,27,44,59
55,36,26,13,21,59
33,57,35,70,76,59
70,69,99,95,51,59
34,51,16,44,54,59
89,33,37,89,32,59
50,23,83,52,55,59
53,77,45,44,98,59
47,43,61,51,86,59
46,75,72,30,84,59
82,45,53,26,99,59
17,50,51,88,14,59
64,33,15,90,47,59
66,59,71,70,44,59
95,19,16,91,67,59
35,70,79,61,18,59
37,30,57,45,17,59
24,90,51,13,95,59
15,66,20,40,88,59
81,25,73,51,63,60
16,15,75,39,77,60
56,77,68,75,98,60
43,39,72,49,76,60
68,55,62,83,30,60
30,72,25,87,75,60
99,76,89,36,47,60
57,11,17,21,51,60
73,72,76,46,79,60
36,61,76,87,24,60
44,44,54,12,71,60
22,83,26,31,13,60
60,34,62,15,40,60
27,77,97,59,43,60
65,38,46,89,65,60
57,97,50,44,55,60
39,89,50,21,64,60
80,74,50,29,61,60
93,92,63,70,53,60
65,62,51,23,46,60
91,57,54,96,80,60
78,51,93,32,48,60
95,90,71,29,63,60
25,36,35,47,80,60
15,54,56,53,54,60
87,46,89,36,64,60
96,63,70,14,96,60
10,26,35,68,92,60
58,59,88,97,37,60
88,37,10,37,97,60
42,41,92,46,12,61
15,75,34,89,79,61
76,85,31,63,14,61
28,49,27,10,76,61
31,33,20,14,37,61
52,75,30,37,80,61
34,66,48,49,68,61
53,52,43,15,75,61
71,44,98,84,66,61
71,33,64,45,30,61
60,63,56,58,51,61
63,17,42,75,82,61
13,78,38,73,61,61
64,33,42,96,78,61
46,12,61,79,38,61
69,46,74,63,76,61
18,82,68,29,58,61
65,95,49,20,40,61
73,47,58,10,83,61
11,65,74,96,47,61
21,67,29,26,17,61
23,39,63,56,10,61
59,84,48,65,71,61
80,59,93,34,22,61
59,79,25,29,60,61
17,82,32,99,28,61
32,12,50,35,40,61
32,32,66,75,58,61
27,85,20,72,70,61
98,63,53,84,17,61
64,60,86,19,93,62
40,49,94,73,13,62
40,75,66,14,22,62
58,15,84,52,65,62
12,83,12,84,49,62
71,36,32,60,94,62
39,27,61,43,67,62
54,12,33,65,99,62
80,74,81,78,41,62
62,60,96,23,15,62
30,63,11,92,63,62
87,24,15,27,91,62
84,50,50,30,89,62
28,85,64,97,57,62
15,75,30,68,27,62
72,97,35,91,37,62
93,94,55,21,81,62
83,23,60,15,57,62
79,32,99,67,50,62
35,79,15,47,56,62
78,84,61,37,52,62
44,60,83,78,20,62
91,10,43,99,21,62
94,93,46,68,55,62
23,83,88,86,59,62
66,43,29,17,75,62
44,63,51,35,36,62
93,37,58,99,63,62
58,87,72,89,12,62
53,28,38,32,32,62
19,68,23,76,33,63
23,15,25,43,76,63
46,69,59,24,67,63
53,45,19,23,75,63
33,34,82,88,95,63
79,32,28,94,72,63
13,12,70,69,53,63
85,56,64,54,64,63
68,80,79,22,49,63
18,55,20,50,76,63
10,73,25,80,42,63
34,80,62,56,11,63
71,22,57,62,99,63
47,90,97,54,40,63
96,43,55,63,43,63
21,95,12,44,78,63
94,35,50,14,45,63
84,92,71,25,69,63
34,31,11,86,24,63
38,53,87,22,86,63
51,54,93,89,92,63
82,86,34,99,14,63
80,18,56,84,33,63
16,51,36,91,64,63
52,28,93,96,71,63
73,43,99,97,96,63
78,31,58,20,41,63
82,43,30,65,29,63
98,66,96,90,97,63
56,69,97,47,91,63
16,23,18,42,14,64
86,22,67,28,72,64
14,12,85,17,10,64
13,63,24,75,24,64
88,44,32,39,35,64
56,84,78,35,15,64
26,88,77,68,52,64
22,97,29,75,71,64
59,68,54,76,31,64
70,24,97,57,35,64
46,23,82,92,52,64
58,39,97,18,11,64
90,52,68,73,54,64
82,25,91,78,42,64
49,90,42,11,11,64
18,90,16,82,70,64
85,74,94,65,83,64
34,36,66,24,80,64
36,48,69,78,78,64
20,34,32,76,64,64
82,73,45,54,21,64
68,75,26,67,10,64
53,61,46,64,37,64
38,82,98,35,34,64
34,58,84,69,61,64
65,72,98,84,28,64
71,33,27,21,55,64
48,95,69,34,99,64
77,97,36,44,81,64
95,30,49,53,88,64
81,94,75,11,11,65
70,14,75,59,68,65
75,86,21,69,26,65
79,51,51,35,39,65
98,85,66,13,60,65
18,80,87,11,91,65
71,89,48,15,62,65
15,10,68,44,53,65
29,19,45,57,52,65
46,98,98,95,17,65
28,13,10,49,24,65
65,86,95,44,52,65
80,83,73,52,85,65
22,51,66,68,29,65
67,48,80,53,60,65
29,50,75,88,29,65
48,27,91,50,95,65
21,18,91,77,66,65
92,14,33,34,10,65
50,48,63,14,28,65
35,33,87,26,39,65
47,96,41,99,66,65
50,63,78,51,66,65
64,78,17,28,10,65
26,77,35,57,68,65
57,71,54,76,81,65
80,58,70,24,83,65
98,40,55,92,36,65
35,83,24,87,14,65
88,59,53,57,37,65
24,98,10,44,17,66
16,10,86,16,95,66
47,82,31,19,49,66
94,46,14,15,90,66
38,83,86,76,65,66
55,23,61,79,52,66
41,88,94,47,65,66
39,68,66,88,96,66
51,13,32,89,70,66
78,33,14,26,32,66
13,59,57,53,87,66
13,59,13,90,21,66
49,85,34,53,28,66
12,11,78,62,46,66
12,71,22,51,21,66
71,99,87,95,86,66
95,80,26,52,88,66
93,76,25,32,33,66
92,33,64,30,26,66
88,76,10,69,84,66
89,88,68,12,67,66
89,63,23,77,40,66
74,38,59,72,79,66
68,66,66,53,40,66
43,49,16,79,58,66
12,92,87,68,74,66
27,14,66,30,91,66
17,27,82,72,56,66
37,88,26,26,76,66
93,71,28,67,68,66
33,68,26,90,18,67
73,26,55,58,31,67
33,24,48,89,32,67
66,83,71,92,90,67
54,57,21,28,47,67
84,26,57,11,65,67
60,43,48,67,97,67
53,21,40,53,48,67
31,95,91,71,47,67
21,70,30,93,52,67
99,68,60,18,47,67
93,20,59,42,94,67
67,83,35,86,47,67
67,28,19,85,32,67
81,88,82,26,22,67
59,89,34,55,81,67
32,76,88,96,90,67
75,99,48,62,60,67
82,52,37,56,66,67
56,37,12,20,71,67
62,13,21,58,32,67
46,53,17,32,10,67
75,49,96,11,64,67
57,97,26,20,94,67
